__ID__,alcohol,sulphates,pH,density,total sulfur dioxide,free sulfur dioxide,chlorides,residual sugar,citric acid,volatile acidity,fixed acidity
94,11.5,0.44,3.21,0.9916,148.0,51.0,0.04,1.7,0.32,0.17,7.5
95,9.2,0.42,3.04,0.9969,240.0,62.0,0.044000000000000004,12.4,0.29,0.26,7.1
96,8.8,0.5,3.14,0.9979,164.0,26.0,0.046,15.9,0.66,0.34,6.0
97,11.4,0.36,2.95,0.9913,80.0,15.0,0.034,1.2,0.36,0.265,8.6
98,10.1,0.3,2.89,0.9956,83.0,4.0,0.038,10.5,0.46,0.36,9.8
99,8.8,0.5,3.14,0.9979,164.0,26.0,0.046,15.9,0.66,0.34,6.0
100,9.1,0.44,3.0,0.9975,192.0,52.0,0.06,13.5,0.37,0.25,7.4
101,9.4,0.41,3.4,0.9962,162.0,64.0,0.054000000000000006,9.6,0.32,0.12,7.1
102,9.4,0.39,3.34,0.997,164.0,55.0,0.05,12.1,0.24,0.21,6.0
103,9.0,0.46,2.99,1.0,170.0,44.0,0.059000000000000004,18.9,0.4,0.305,7.5
104,9.1,0.44,3.0,0.9975,192.0,52.0,0.06,13.5,0.37,0.25,7.4
105,9.2,0.35,3.2,0.9974,109.0,34.0,0.051,14.4,0.32,0.13,7.3
106,9.4,0.41,3.4,0.9962,162.0,64.0,0.054000000000000006,9.6,0.32,0.12,7.1
107,9.1,0.59,3.16,0.9990000000000001,171.0,60.0,0.04,16.5,0.35,0.23,7.1
108,9.1,0.59,3.16,0.9990000000000001,171.0,60.0,0.04,16.5,0.35,0.23,7.1
109,10.3,0.6,3.27,0.9927,187.0,37.0,0.051,1.3,0.28,0.33,6.9
110,8.8,0.39,2.89,0.9959,163.0,64.0,0.08199999999999999,8.5,0.54,0.17,6.5
111,8.9,0.52,3.04,1.0,255.0,45.0,0.052000000000000005,18.75,0.46,0.27,7.2
112,9.2,0.47,3.01,0.9982,195.0,68.0,0.055999999999999994,13.3,0.5,0.31,7.2
113,9.1,0.51,3.22,0.9968,150.0,29.0,0.049,9.2,0.34,0.41,6.7
114,9.1,0.51,3.22,0.9968,150.0,29.0,0.049,9.2,0.34,0.41,6.7
115,9.7,0.4,3.63,0.9940000000000001,103.0,8.0,0.065,1.5,0.0,0.485,5.5
116,11.3,0.44,3.31,0.9914,143.0,25.0,0.040999999999999995,3.3,0.24,0.31,6.0
117,11.8,0.42,3.19,0.9911,85.0,16.0,0.035,1.7,0.4,0.14,7.0
118,9.2,0.47,3.01,0.9982,195.0,68.0,0.055999999999999994,13.3,0.5,0.31,7.2
119,9.2,0.5,3.04,0.9982,196.0,57.0,0.06,13.3,0.48,0.32,7.3
120,10.2,0.51,3.22,0.9934,87.0,21.0,0.046,5.7,0.04,0.36,5.9
121,8.8,0.54,3.01,0.9984,138.0,42.0,0.054000000000000006,12.2,0.32,0.24,7.8
122,9.7,0.34,3.29,0.9952,131.0,31.0,0.059000000000000004,6.85,0.31,0.16,7.4
123,9.1,0.36,3.29,0.9952,146.0,14.0,0.057999999999999996,5.0,0.28,0.19,6.9
124,9.8,0.36,3.21,0.9928,158.0,40.0,0.092,1.6,0.47,0.13,6.4
125,11.0,0.48,3.27,0.9912,143.0,63.0,0.026000000000000002,1.1,0.36,0.19,6.7
126,10.5,0.42,3.14,0.9940000000000001,126.0,29.0,0.033,7.0,0.23,0.39,7.4
127,9.7,0.54,3.45,0.9958,203.0,48.0,0.038,7.6,0.32,0.24,6.5
128,10.9,0.57,3.3,0.9924,179.0,47.0,0.044000000000000004,2.8,0.56,0.3,6.1
129,10.9,0.57,3.31,0.9924,184.0,46.0,0.046,2.7,0.56,0.3,6.1
130,10.6,0.37,3.39,0.9940000000000001,57.0,7.0,0.02,10.4,0.25,0.26,5.7
131,9.7,0.54,3.45,0.9958,203.0,48.0,0.038,7.6,0.32,0.24,6.5
132,9.0,0.57,3.23,0.9979,241.0,59.0,0.038,13.1,0.4,0.425,6.5
133,9.2,0.51,3.24,0.9982,188.0,46.0,0.035,15.8,0.27,0.24,6.6
134,8.9,0.52,3.19,0.9961,203.0,55.0,0.034,8.1,0.22,0.27,6.8
135,9.6,0.56,3.26,0.9979,179.0,44.0,0.036000000000000004,15.7,0.31,0.27,6.7
136,10.7,0.38,3.12,0.992,121.0,36.0,0.027000000000000003,1.2,0.4,0.23,8.2
137,8.7,0.44,3.16,0.9975,155.0,49.0,0.045,10.5,0.67,0.37,7.1
138,10.8,0.54,3.15,0.9917,96.0,30.0,0.035,1.9,0.36,0.19,6.8
139,11.8,0.52,3.23,0.9923,79.0,18.0,0.028999999999999998,1.9,0.39,0.28,8.1
140,10.2,0.43,3.3,0.9927,77.0,20.0,0.045,2.2,0.34,0.31,6.3
141,8.7,0.44,3.16,0.9975,155.0,49.0,0.045,10.5,0.67,0.37,7.1
142,10.8,0.54,3.21,0.992,107.0,38.0,0.039,1.2,0.4,0.21,7.9
143,9.7,0.53,3.18,0.9947,99.0,24.0,0.036000000000000004,4.3,0.41,0.21,8.5
144,11.2,0.54,3.12,0.9921,87.0,19.0,0.037000000000000005,2.0,0.4,0.2,8.1
145,10.9,0.39,3.0,0.9905,114.0,37.0,0.04,1.1,0.37,0.255,6.3
146,10.1,0.37,3.28,0.9918,168.0,53.0,0.044000000000000004,1.4,0.27,0.16,5.6
147,9.0,0.36,3.38,0.9951,97.0,15.0,0.057999999999999996,5.2,0.14,0.595,6.4
148,12.0,0.58,3.38,0.9917,80.0,19.0,0.034,4.6,0.33,0.34,6.3
149,9.4,0.38,2.99,0.9940000000000001,116.0,23.0,0.054000000000000006,4.1,0.3,0.25,6.9
150,11.5,0.32,3.12,0.9934,152.0,46.0,0.043,8.0,0.38,0.22,7.9
151,9.9,0.43,3.14,0.9968,135.0,58.0,0.055,10.2,0.46,0.18,7.6
152,9.4,0.38,2.99,0.9940000000000001,116.0,23.0,0.054000000000000006,4.1,0.3,0.25,6.9
153,10.4,0.45,3.14,0.9919,97.0,41.0,0.048,1.2,0.41,0.18,7.2
154,9.7,0.84,3.06,0.9966,76.0,12.0,0.049,7.5,0.4,0.23,8.2
155,8.9,0.42,2.89,0.9979,198.0,48.0,0.066,14.0,0.42,0.24,7.4
156,8.9,0.42,2.89,0.9979,198.0,48.0,0.066,14.0,0.42,0.24,7.4
157,12.4,0.42,3.29,0.9898,124.0,38.0,0.036000000000000004,1.5,0.24,0.32,6.1
158,12.1,0.33,3.36,0.9894,119.0,43.0,0.036000000000000004,1.4,0.04,0.44,5.2
159,12.1,0.33,3.36,0.9894,119.0,43.0,0.036000000000000004,1.4,0.04,0.44,5.2
160,12.4,0.42,3.29,0.9898,124.0,38.0,0.036000000000000004,1.5,0.24,0.32,6.1
161,9.1,0.4,2.98,0.998,159.0,27.0,0.055,14.5,0.56,0.22,6.4
162,10.6,0.39,3.28,0.9932,85.0,14.0,0.049,4.8,0.3,0.36,6.3
163,8.9,0.42,2.89,0.9979,198.0,48.0,0.066,14.0,0.42,0.24,7.4
164,9.5,0.5,3.15,0.997,205.0,64.0,0.05,13.1,0.35,0.24,6.7
165,9.8,0.49,3.16,0.9972,177.0,72.0,0.051,13.0,0.36,0.23,7.0
166,9.6,0.59,3.14,0.9974,197.0,39.0,0.048,8.7,0.46,0.27,8.4
167,12.6,0.44,3.08,0.9896,98.0,25.0,0.034,2.4,0.18,0.46,6.7
168,9.3,0.54,3.08,0.9968,151.0,20.0,0.055,8.95,0.31,0.29,7.5
169,10.0,0.29,2.87,0.9958,110.0,5.0,0.034,9.85,0.48,0.42,9.8
170,12.7,0.54,3.12,0.9906,133.0,29.0,0.066,1.5,0.46,0.3,7.1
171,11.0,0.39,3.13,0.9917,96.0,17.0,0.045,1.5,0.45,0.19,7.9
172,11.4,0.39,3.03,0.9902,100.0,4.0,0.037000000000000005,0.8,0.37,0.48,7.6
173,11.5,0.33,3.35,0.9918,130.0,31.0,0.038,4.55,0.43,0.22,6.3
174,10.2,0.64,3.09,0.9990000000000001,173.0,33.0,0.051,17.7,0.31,0.27,7.5
175,11.4,0.27,3.11,0.9927,151.0,50.0,0.04,7.5,0.4,0.23,6.9
176,12.6,0.41,3.03,0.991,65.0,19.0,0.044000000000000004,5.1,0.47,0.32,7.2
177,9.4,0.39,3.28,0.9972,170.0,57.0,0.054000000000000006,12.9,0.3,0.23,5.9
178,8.7,0.35,3.11,0.9931,108.0,9.0,0.06,1.2,0.07,0.67,6.0
179,9.2,0.68,3.19,0.995,176.0,41.0,0.049,5.5,0.32,0.25,6.4
180,9.3,0.66,3.19,0.9951,173.0,42.0,0.048,5.5,0.31,0.33,6.4
181,9.2,0.43,3.09,0.9936,183.0,61.0,0.053,1.2,0.15,0.34,7.1
182,8.7,0.5,2.93,1.001,167.0,48.0,0.048,22.0,0.4,0.28,6.8
183,9.6,0.58,3.18,0.9979,227.0,64.0,0.05,14.0,0.4,0.27,6.9
184,9.3,0.63,3.02,0.997,226.0,64.0,0.043,11.9,0.56,0.26,6.8
185,9.3,0.63,3.02,0.9972,230.0,66.0,0.043,11.9,0.56,0.29,6.8
186,9.9,0.61,3.12,0.9954,166.0,49.0,0.04,9.4,0.41,0.24,6.7
187,11.0,0.5,3.15,0.9924,119.0,42.0,0.038,4.2,0.23,0.3,5.9
188,12.7,0.57,3.26,0.9906,109.0,26.0,0.034,3.8,0.35,0.53,6.8
189,8.9,0.54,3.09,0.9962,210.0,54.0,0.047,8.5,0.28,0.28,6.5
190,8.9,0.55,3.09,0.9962,211.0,55.0,0.052000000000000005,8.5,0.28,0.28,6.6
191,8.7,0.5,2.93,1.001,167.0,48.0,0.048,22.0,0.4,0.28,6.8
192,11.4,0.37,3.02,0.9928,123.0,28.0,0.045,8.0,0.36,0.28,6.8
193,9.6,0.42,3.36,0.9942,125.0,34.0,0.055,5.1,0.34,0.15,6.6
194,9.1,0.41,3.02,0.9942,181.0,75.0,0.2,3.6,0.44,0.29,6.4
195,9.1,0.39,3.02,0.9942,180.0,76.0,0.19699999999999998,3.5,0.45,0.3,6.4
196,9.1,0.38,3.01,0.9942,183.0,75.0,0.19699999999999998,3.6,0.44,0.29,6.4
197,8.9,0.47,3.13,0.9961,214.0,54.0,0.052000000000000005,7.8,0.24,0.26,6.8
198,8.8,0.49,3.1,0.998,204.0,52.0,0.05,13.1,0.24,0.32,7.1
199,8.9,0.47,3.13,0.9961,214.0,54.0,0.052000000000000005,7.8,0.24,0.26,6.8
200,9.3,0.5,3.15,0.9984,196.0,55.0,0.049,16.1,0.26,0.27,6.8
201,8.8,0.49,3.1,0.998,204.0,52.0,0.05,13.1,0.24,0.32,7.1
202,9.6,0.5,3.2,0.9973,236.0,53.0,0.05,13.2,0.32,0.54,6.9
203,12.0,0.53,3.33,0.9949,134.0,39.0,0.034,13.9,0.34,0.26,6.8
204,10.2,0.5,3.28,0.9924,114.0,36.0,0.053,2.3,0.35,0.28,5.8
205,8.8,0.43,3.15,0.9972,153.0,45.0,0.042,11.6,0.5,0.21,6.4
206,9.2,0.34,3.21,0.9958,126.0,38.0,0.045,8.3,0.32,0.16,7.0
207,9.9,0.51,2.99,0.9968,124.0,20.0,0.049,6.2,0.88,0.44,10.2
208,10.2,0.74,3.32,0.9938,77.0,15.0,0.04,2.2,0.29,0.57,6.8
209,9.5,0.77,3.22,0.993,170.0,23.0,0.048,0.9,0.31,0.4,6.1
210,10.5,0.34,3.31,0.9940000000000001,68.0,12.0,0.032,9.7,0.25,0.245,5.6
211,11.2,0.59,3.32,0.9918,111.0,35.0,0.038,1.4,0.38,0.18,6.8
212,9.2,0.34,3.21,0.9958,126.0,38.0,0.045,8.3,0.32,0.16,7.0
213,9.7,0.37,3.44,0.9944,122.0,31.0,0.051,5.3,0.29,0.13,6.7
214,11.1,0.44,3.3,0.9912,105.0,35.0,0.03,1.4,0.25,0.25,6.2
215,9.4,0.38,3.31,0.9961,152.0,55.0,0.044000000000000004,9.2,0.24,0.26,5.8
216,11.0,0.33,3.03,0.9939,164.0,45.0,0.036000000000000004,7.0,0.36,0.27,7.5
217,9.4,0.38,3.31,0.9961,152.0,55.0,0.044000000000000004,9.2,0.24,0.26,5.8
218,9.4,0.44,3.31,0.9989,167.0,60.0,0.044000000000000004,17.5,0.24,0.28,5.7
219,11.0,0.32,3.04,0.9938,161.0,43.0,0.036000000000000004,7.0,0.36,0.23,7.5
220,11.0,0.33,3.03,0.9939,164.0,45.0,0.036000000000000004,7.0,0.36,0.27,7.5
221,9.1,0.55,3.0,0.9971,172.0,33.0,0.07,9.5,0.21,0.685,7.2
222,11.1,0.44,3.3,0.9912,105.0,35.0,0.03,1.4,0.25,0.25,6.2
223,9.1,0.39,3.42,0.9936,144.0,33.0,0.043,0.8,0.3,0.19,6.5
224,10.4,0.54,3.39,0.9929,140.0,31.0,0.046,1.8,0.22,0.495,6.3
225,8.7,0.39,3.32,0.9998,145.0,39.0,0.046,17.8,0.41,0.24,7.1
226,9.7,0.5,3.5,0.9938,200.0,41.0,0.048,2.4,0.32,0.17,6.4
227,9.1,0.52,3.17,0.9969,272.0,66.0,0.040999999999999995,10.3,0.32,0.25,7.1
228,9.7,0.5,3.5,0.9938,200.0,41.0,0.048,2.4,0.32,0.17,6.4
229,8.7,0.39,3.32,0.9998,145.0,39.0,0.046,17.8,0.41,0.24,7.1
230,8.9,0.46,3.37,0.9972,142.0,26.0,0.062,9.7,0.08,0.64,6.8
231,9.6,0.51,3.34,0.9976,194.0,38.0,0.040999999999999995,7.8,0.4,0.28,8.3
232,9.5,0.51,3.31,0.9976,208.0,49.0,0.039,7.8,0.39,0.27,8.2
233,9.0,0.44,3.09,0.9979,194.0,55.0,0.057999999999999996,14.3,0.38,0.23,7.2
234,9.0,0.44,3.09,0.9979,194.0,55.0,0.057999999999999996,14.3,0.38,0.23,7.2
235,9.0,0.44,3.09,0.9979,194.0,55.0,0.057999999999999996,14.3,0.38,0.23,7.2
236,9.0,0.44,3.09,0.9979,194.0,55.0,0.057999999999999996,14.3,0.38,0.23,7.2
237,9.6,0.5,3.27,0.9972,221.0,54.0,0.044000000000000004,13.2,0.32,0.52,6.8
238,11.1,0.41,3.34,0.9918,120.0,40.0,0.037000000000000005,1.4,0.59,0.26,7.0
239,9.6,0.64,3.48,0.9982,159.0,28.0,0.039,15.55,0.21,0.25,6.2
240,8.7,0.46,3.2,0.9985,197.0,49.0,0.05,13.7,0.23,0.32,7.3
241,10.4,0.5,3.13,0.9944,90.0,23.0,0.031,7.8,0.26,0.31,7.7
242,11.4,0.38,3.15,0.9903,100.0,23.0,0.026000000000000002,2.4,0.37,0.21,7.1
243,9.7,0.58,3.3,0.9934,218.5,64.5,0.047,2.7,0.34,0.24,6.8
244,8.7,0.46,3.14,0.9975,142.0,40.0,0.043,11.2,0.56,0.4,6.9
245,11.3,0.79,3.37,0.9923,249.5,20.0,0.038,2.0,0.36,0.18,6.1
246,12.6,0.61,3.16,0.99,139.0,26.0,0.03,2.1,0.27,0.21,6.8
247,10.9,0.36,3.25,0.9905,77.0,12.0,0.031,1.4,0.27,0.2,5.8
248,10.9,0.37,3.25,0.9905,76.0,12.0,0.03,1.4,0.26,0.19,5.6
249,10.0,0.45,3.38,0.996,119.0,18.0,0.037000000000000005,10.4,0.14,0.41,6.1
250,10.0,0.7,3.72,0.9964,199.0,40.0,0.053,4.6,0.28,0.21,5.9
251,9.8,0.5,3.02,0.998,197.0,41.0,0.07400000000000001,16.2,0.21,0.26,8.5
252,8.7,0.46,3.14,0.9975,142.0,40.0,0.043,11.2,0.56,0.4,6.9
253,11.7,0.43,3.53,0.9913,109.0,5.0,0.028999999999999998,3.5,0.44,0.24,5.8
254,9.3,0.52,3.21,0.9932,158.0,37.0,0.054000000000000006,1.5,0.39,0.24,5.8
255,9.6,0.58,3.32,0.9935,147.0,45.0,0.04,1.1,0.39,0.26,6.7
256,11.0,0.41,3.27,0.9927,97.0,8.0,0.035,5.7,0.3,0.35,6.3
257,11.0,0.41,3.27,0.9927,97.0,8.0,0.035,5.7,0.3,0.35,6.3
258,11.8,0.5,3.32,0.9912,118.0,23.0,0.032,1.8,0.39,0.23,6.4
259,11.4,0.34,3.28,0.9904,75.0,3.0,0.037000000000000005,0.9,0.38,0.36,5.8
260,10.2,0.42,3.32,0.9939,108.0,36.0,0.048,5.4,0.35,0.115,6.9
261,8.9,0.47,2.93,0.9996,156.0,36.0,0.043,19.45,0.4,0.29,6.9
262,10.2,0.33,3.17,0.9944,95.0,15.0,0.036000000000000004,8.2,0.4,0.28,6.9
263,9.6,0.59,3.08,0.9977,231.0,66.0,0.045,13.6,0.4,0.29,7.2
264,10.6,0.48,3.1,0.9912,167.0,22.0,0.038,1.2,0.35,0.24,6.2
265,8.9,0.47,2.93,0.9996,156.0,36.0,0.043,19.45,0.4,0.29,6.9
266,9.2,0.51,3.25,0.9965,180.0,32.0,0.053,8.3,0.26,0.32,6.9
267,9.7,0.57,3.34,0.9944,149.0,34.0,0.043,6.9,0.07,0.58,5.3
268,9.7,0.57,3.34,0.9945,145.0,34.0,0.044000000000000004,7.1,0.07,0.585,5.3
269,9.7,0.57,3.34,0.9944,147.0,36.0,0.045,7.0,0.07,0.59,5.4
270,9.2,0.51,3.25,0.9965,180.0,32.0,0.053,8.3,0.26,0.32,6.9
271,9.7,0.58,3.33,0.9944,147.0,33.0,0.044000000000000004,7.0,0.07,0.6,5.2
272,9.3,0.38,3.29,0.9972,148.0,44.0,0.051,13.1,0.26,0.25,5.8
273,9.0,0.38,3.24,0.9949,123.0,30.0,0.057,5.1,0.3,0.58,6.6
274,9.5,0.61,3.05,0.9966,234.0,59.0,0.046,10.7,0.54,0.29,7.0
275,9.8,0.57,3.14,0.9954,169.0,51.0,0.046,8.9,0.41,0.19,6.6
276,9.8,0.58,3.14,0.9954,166.0,50.0,0.044000000000000004,9.1,0.41,0.2,6.7
277,10.6,0.5,2.89,0.9915,60.0,9.0,0.042,1.1,0.4,0.26,7.7
278,10.6,0.47,3.05,0.9919,67.0,14.0,0.044000000000000004,1.2,0.34,0.32,6.8
279,12.4,0.68,3.26,0.9916,105.0,17.0,0.036000000000000004,4.7,0.49,0.3,7.0
280,12.6,0.38,3.19,0.99,112.0,22.0,0.034,2.8,0.36,0.24,7.0
281,12.3,0.6,3.3,0.9909,114.0,36.0,0.039,5.0,0.58,0.31,6.1
282,10.5,0.65,3.08,0.9938,201.0,46.0,0.047,5.1,0.37,0.44,6.8
283,9.3,0.49,3.19,0.9982,196.0,51.0,0.054000000000000006,15.6,0.3,0.34,6.7
284,8.8,0.49,3.12,0.9988,198.0,46.0,0.055,15.4,0.24,0.35,7.1
