__ID__,酒精,硫酸盐,PH,密度,总二氧化硫,游离二氧化硫,氯化物,残糖,柠檬酸,挥发性酸度,固定酸度
64,10.9,0.39,3.41,0.9962,11.0,4.0,0.086,4.65,0.05,0.725,7.2
65,10.9,0.39,3.41,0.9962,11.0,4.0,0.086,4.65,0.05,0.725,7.2
66,9.6,0.58,3.42,0.9968,39.0,11.0,0.079,1.5,0.11,0.52,7.5
67,10.7,0.58,3.44,0.9962,15.0,6.0,0.076,1.6,0.07,0.705,6.6
68,10.7,0.79,3.28,0.9969,65.0,27.0,0.07400000000000001,2.0,0.57,0.32,9.3
69,10.5,0.95,3.34,0.9962,19.0,8.0,0.07400000000000001,1.9,0.05,0.705,8.0
70,9.5,0.54,3.32,0.9967,27.0,15.0,0.076,1.9,0.08,0.63,7.7
71,9.5,0.48,3.32,0.9962,96.0,17.0,0.08800000000000001,2.1,0.23,0.67,7.7
72,9.5,0.48,3.31,0.9961,94.0,18.0,0.084,1.9,0.22,0.69,7.7
73,9.2,0.53,3.31,0.9976,43.0,11.0,0.084,2.1,0.26,0.675,8.3
74,9.6,0.82,3.28,0.9984,83.0,28.0,0.094,2.5,0.54,0.32,9.7
75,10.5,0.66,3.54,0.9986,42.0,9.0,0.09300000000000001,2.2,0.64,0.41,8.8
76,10.5,0.66,3.54,0.9986,42.0,9.0,0.09300000000000001,2.2,0.64,0.41,8.8
77,10.7,0.55,3.52,0.9966,30.0,14.0,0.10400000000000001,2.4,0.0,0.785,6.8
78,10.1,0.52,3.38,0.9958,80.0,12.0,0.086,2.0,0.12,0.75,6.7
79,9.1,1.12,3.16,0.9972,119.0,27.0,0.08,1.5,0.2,0.625,8.3
80,9.2,0.56,3.41,0.9958,15.0,3.0,0.069,1.6,0.2,0.45,6.2
81,9.4,1.28,3.13,0.9974,67.0,22.0,0.46399999999999997,1.9,0.7,0.43,7.8
82,9.1,0.57,3.36,0.997,73.0,21.0,0.086,2.0,0.47,0.5,7.4
83,9.4,1.14,3.16,0.9969,51.0,16.0,0.401,1.8,0.26,0.67,7.3
84,10.3,0.78,3.44,0.9959,61.0,18.0,0.069,1.8,0.48,0.3,6.3
85,10.1,0.59,3.41,0.9961,40.0,19.0,0.076,2.2,0.15,0.55,6.9
86,9.9,1.95,2.93,0.9972,136.0,20.0,0.11,1.9,0.28,0.49,8.6
87,9.6,0.64,3.39,0.9966,31.0,9.0,0.062,1.9,0.26,0.49,7.7
88,9.5,1.22,3.14,0.9978,125.0,34.0,0.107,2.1,0.44,0.39,9.3
89,9.0,0.53,3.48,0.9978,24.0,8.0,0.076,1.8,0.08,0.62,7.0
90,9.5,0.54,3.23,0.9964,140.0,42.0,0.079,1.9,0.26,0.52,7.9
91,9.9,1.95,2.93,0.9972,136.0,20.0,0.11,1.9,0.28,0.49,8.6
92,9.8,1.98,2.93,0.9972,133.0,19.0,0.11,2.0,0.29,0.49,8.6
93,9.6,0.64,3.39,0.9966,31.0,9.0,0.062,1.9,0.26,0.49,7.7
94,10.5,0.48,3.75,0.9938,85.0,41.0,0.045,1.4,0.04,1.02,5.0
95,12.9,0.6,3.85,0.9932,106.0,17.0,0.057999999999999996,2.3,0.17,0.6,4.7
96,10.7,0.56,3.45,0.9965,23.0,8.0,0.102,3.0,0.0,0.775,6.8
97,9.2,0.63,3.25,0.9963,22.0,3.0,0.07,2.0,0.25,0.5,7.0
98,9.8,0.56,3.39,0.9967,10.0,5.0,0.079,2.5,0.06,0.9,7.6
99,9.0,0.59,3.3,0.9972,35.0,13.0,0.08,1.9,0.18,0.545,8.1
100,10.2,0.61,3.4,0.9972,50.0,11.0,0.084,2.1,0.3,0.61,8.3
101,10.4,0.56,3.31,0.9959,22.0,8.0,0.075,1.9,0.3,0.5,7.8
102,9.0,0.59,3.3,0.9972,35.0,13.0,0.08,1.9,0.18,0.545,8.1
103,9.2,0.51,3.29,0.9967,65.0,12.0,0.077,2.1,0.22,0.575,8.1
104,9.4,0.48,3.33,0.996,36.0,5.0,0.07,2.2,0.24,0.49,7.2
105,9.2,0.51,3.29,0.9967,65.0,12.0,0.077,2.1,0.22,0.575,8.1
106,9.3,1.31,3.08,0.9973,69.0,18.0,0.467,1.7,0.68,0.41,7.8
107,9.3,0.79,3.46,0.9969,64.0,15.0,0.08800000000000001,1.7,0.31,0.63,6.2
108,9.6,0.8,3.37,0.9976,80.0,18.0,0.091,2.5,0.53,0.33,8.0
109,9.3,0.69,3.21,0.9969,153.0,37.0,0.122,2.0,0.52,0.785,8.1
110,9.5,0.93,3.19,0.9964,47.0,12.0,0.10400000000000001,1.8,0.19,0.56,7.8
111,9.8,0.66,3.15,0.9964,108.0,11.0,0.084,2.2,0.09,0.62,8.4
112,9.8,0.66,3.15,0.9964,111.0,14.0,0.085,2.2,0.1,0.6,8.4
113,9.7,0.67,3.32,0.9988,46.0,22.0,0.08,2.3,0.44,0.31,10.1
114,9.5,0.93,3.19,0.9964,47.0,12.0,0.10400000000000001,1.8,0.19,0.56,7.8
115,10.5,0.63,3.07,0.9966,62.0,13.0,0.09,2.2,0.31,0.4,9.4
116,10.0,0.61,3.39,0.9978,40.0,11.0,0.077,1.9,0.28,0.54,8.3
117,9.4,0.5,3.37,0.997,28.0,7.0,0.08199999999999999,2.0,0.12,0.56,7.8
118,10.9,0.6,3.21,0.9962,56.0,14.0,0.11900000000000001,2.2,0.04,0.55,8.8
119,9.2,0.54,3.34,0.9959,89.0,22.0,0.09699999999999999,1.8,0.08,0.69,7.0
120,9.0,0.57,3.3,0.9962,89.0,10.0,0.17800000000000002,1.7,0.09,1.07,7.3
121,10.9,0.6,3.21,0.9962,56.0,14.0,0.11900000000000001,2.2,0.04,0.55,8.8
122,9.2,0.52,3.49,0.998,13.0,3.0,0.075,2.5,0.0,0.695,7.3
123,9.5,0.53,3.44,0.9976,34.0,11.0,0.08,2.6,0.0,0.71,8.0
124,9.5,0.48,3.39,0.996,102.0,21.0,0.08199999999999999,1.6,0.17,0.5,7.8
125,9.4,0.7,3.16,0.9984,90.0,27.0,0.146,1.9,0.04,0.62,9.0
126,10.9,0.49,3.53,0.9964,12.0,3.0,0.081,1.7,0.0,1.33,8.2
127,10.9,0.48,3.54,0.9964,12.0,3.0,0.08199999999999999,1.8,0.0,1.33,8.1
128,10.5,0.92,3.42,0.9962,16.0,3.0,0.065,1.8,0.16,0.59,8.0
129,9.4,0.57,3.42,0.9955,19.0,6.0,0.07200000000000001,1.8,0.15,0.38,6.1
130,9.4,0.66,3.24,0.9968,134.0,30.0,0.11800000000000001,2.0,0.56,0.745,8.0
131,13.0,0.63,3.63,0.9937,99.0,17.0,0.049,2.3,0.09,0.5,5.6
132,13.0,0.63,3.63,0.9937,99.0,17.0,0.049,2.3,0.09,0.5,5.6
133,9.8,0.58,3.4,0.9952,26.0,17.0,0.06,1.5,0.01,0.5,6.6
134,9.9,0.55,3.22,0.9959,29.0,13.0,0.084,2.2,0.05,1.04,7.9
135,9.6,0.82,3.19,0.9965,63.0,16.0,0.09,1.9,0.11,0.745,8.4
136,9.5,0.77,3.23,0.9968,52.0,10.0,0.08900000000000001,1.8,0.15,0.715,8.3
137,9.2,0.64,3.48,0.9972,45.0,13.0,0.081,2.0,0.36,0.415,7.2
138,9.5,0.54,3.33,0.9962,105.0,15.0,0.081,2.1,0.19,0.56,7.8
139,9.5,0.54,3.32,0.9962,108.0,17.0,0.081,2.0,0.19,0.56,7.8
140,9.6,0.82,3.19,0.9965,63.0,16.0,0.09,1.9,0.11,0.745,8.4
141,9.5,0.77,3.23,0.9968,52.0,10.0,0.08900000000000001,1.8,0.15,0.715,8.3
142,14.0,0.79,3.68,0.9916,63.0,27.0,0.05,1.8,0.0,0.34,5.2
143,9.4,0.58,3.34,0.9954,20.0,3.0,0.066,1.7,0.08,0.39,6.3
144,14.0,0.79,3.68,0.9916,63.0,27.0,0.05,1.8,0.0,0.34,5.2
145,9.4,0.62,3.17,0.9968,141.0,32.0,0.11699999999999999,1.8,0.55,0.67,8.1
146,10.0,0.52,3.54,0.9944,94.0,21.0,0.087,1.8,0.02,0.68,5.8
147,9.3,0.8,3.11,0.9968,88.0,10.0,0.23600000000000002,1.6,0.26,0.49,7.6
148,10.2,0.58,3.42,0.9959,30.0,12.0,0.07400000000000001,2.3,0.1,0.49,6.9
149,10.5,0.61,3.53,0.9975,43.0,11.0,0.08900000000000001,2.8,0.44,0.4,8.2
150,10.3,0.53,3.33,0.9958,11.0,5.0,0.077,2.1,0.47,0.33,7.3
151,9.4,2.0,2.74,0.9996,69.0,32.0,0.61,3.4,1.0,0.52,9.2
152,10.1,0.54,3.35,0.995,99.0,25.0,0.095,1.8,0.03,0.6,7.5
153,10.1,0.54,3.35,0.995,99.0,25.0,0.095,1.8,0.03,0.6,7.5
154,10.5,0.72,3.42,0.9973,129.0,29.0,0.07,5.5,0.42,0.43,7.1
155,10.5,0.71,3.42,0.9973,128.0,28.0,0.071,5.5,0.42,0.43,7.1
156,10.5,0.72,3.42,0.9973,129.0,29.0,0.07,5.5,0.42,0.43,7.1
157,10.5,0.71,3.42,0.9973,128.0,28.0,0.071,5.5,0.42,0.43,7.1
158,9.3,0.5,3.48,0.9969,22.0,12.0,0.073,2.2,0.0,0.68,7.1
159,9.3,0.57,3.59,0.9968,86.0,18.0,0.079,1.9,0.18,0.6,6.8
160,9.6,0.56,3.2,0.9959,20.0,7.0,0.09,2.0,0.03,0.95,7.6
161,9.2,1.08,3.17,0.9965,20.0,9.0,0.07200000000000001,1.3,0.02,0.68,7.6
162,10.0,0.56,3.33,0.9964,31.0,17.0,0.076,1.7,0.04,0.53,7.8
163,9.4,0.49,3.37,0.9982,121.0,36.0,0.07,7.3,0.26,0.6,7.4
164,9.4,0.49,3.37,0.9981,121.0,35.0,0.07,7.2,0.26,0.59,7.3
165,9.5,0.62,3.19,0.9961,96.0,14.0,0.1,1.7,0.48,0.63,7.8
166,10.2,0.52,3.34,0.9956,101.0,18.0,0.085,2.1,0.1,0.64,6.8
167,9.0,0.48,3.37,0.9956,42.0,17.0,0.07200000000000001,1.6,0.03,0.55,7.3
168,10.4,0.55,3.47,0.9953,44.0,11.0,0.08900000000000001,2.1,0.07,0.63,6.8
169,9.5,1.59,3.0,0.9964,63.0,15.0,0.36,1.8,0.24,0.705,7.5
170,9.1,0.33,3.36,0.9972,8.0,4.0,0.057999999999999996,1.8,0.03,0.885,7.9
171,9.2,0.61,3.29,0.9972,18.0,6.0,0.073,2.0,0.17,0.42,8.0
172,9.2,0.61,3.29,0.9972,18.0,6.0,0.073,2.0,0.17,0.42,8.0
173,11.5,0.57,3.42,0.9961,42.0,24.0,0.068,1.9,0.05,0.62,7.4
174,9.5,0.47,3.33,0.9961,35.0,7.0,0.08,2.0,0.21,0.38,7.3
175,9.5,0.78,3.35,0.9958,49.0,19.0,0.085,1.5,0.04,0.5,6.9
176,9.5,0.47,3.33,0.9961,35.0,7.0,0.08,2.0,0.21,0.38,7.3
177,10.5,0.61,3.58,0.9972,38.0,8.0,0.087,2.3,0.42,0.52,7.5
178,9.6,0.56,3.48,0.9969,20.0,7.0,0.068,2.5,0.0,0.805,7.0
179,9.5,0.59,3.19,0.9969,42.0,10.0,0.067,2.4,0.14,0.61,8.8
180,9.5,0.59,3.19,0.9969,42.0,10.0,0.067,2.4,0.14,0.61,8.8
181,9.3,1.02,3.12,0.9972,110.0,23.0,0.27,2.0,0.49,0.61,8.9
182,9.3,0.52,3.44,0.9972,42.0,16.0,0.076,2.5,0.02,0.73,7.2
183,9.3,0.58,3.54,0.9971,65.0,11.0,0.077,1.8,0.2,0.61,6.8
184,9.3,0.58,3.52,0.997,62.0,8.0,0.079,1.9,0.21,0.62,6.7
185,9.7,0.53,3.26,0.9971,85.0,26.0,0.111,2.0,0.57,0.31,8.9
186,9.2,0.55,3.34,0.9972,67.0,14.0,0.08199999999999999,2.0,0.48,0.39,7.4
187,9.7,0.49,3.39,0.9976,26.0,9.0,0.084,2.6,0.1,0.705,7.7
188,9.5,0.55,3.2,0.9968,143.0,15.0,0.084,2.0,0.33,0.5,7.9
189,9.5,0.55,3.2,0.9968,144.0,17.0,0.08199999999999999,1.9,0.32,0.49,7.9
190,9.4,0.62,3.23,0.9976,127.0,21.0,0.077,2.9,0.35,0.5,8.2
191,9.8,0.62,3.57,0.9974,49.0,21.0,0.07400000000000001,1.9,0.25,0.37,6.4
192,9.5,0.61,3.28,0.9969,126.0,16.0,0.099,3.8,0.12,0.63,6.8
193,9.7,0.55,3.28,0.9964,28.0,7.0,0.071,2.2,0.21,0.55,7.6
194,9.7,0.55,3.28,0.9964,28.0,7.0,0.071,2.2,0.21,0.55,7.6
195,9.4,0.54,3.25,0.9968,120.0,24.0,0.07400000000000001,2.0,0.33,0.59,7.8
196,10.2,0.59,3.46,0.9968,55.0,15.0,0.07400000000000001,2.4,0.3,0.58,7.3
197,10.1,0.97,3.11,0.9981,27.0,12.0,0.067,2.0,0.6,0.3,11.5
198,13.0,0.85,3.57,0.9924,93.0,13.0,0.046,1.2,0.08,0.835,5.4
199,11.4,0.43,3.51,0.9948,31.0,12.0,0.061,2.1,0.06,1.09,6.9
200,10.3,0.82,3.22,0.99695,24.0,9.0,0.055999999999999994,1.4,0.47,0.32,9.6
201,9.3,1.03,3.04,0.9975,145.0,39.0,0.09699999999999999,2.1,0.48,0.37,8.8
202,9.5,0.79,3.36,0.99545,49.0,16.0,0.075,1.5,0.11,0.5,6.8
203,9.2,0.55,3.34,0.9961,39.0,16.0,0.08800000000000001,1.6,0.35,0.42,7.0
204,9.2,0.56,3.34,0.99615,37.0,14.0,0.08900000000000001,1.6,0.36,0.43,7.0
205,10.8,0.77,3.2,0.9994,28.0,9.0,0.095,2.6,0.74,0.3,12.8
206,10.8,0.77,3.2,0.9994,28.0,9.0,0.095,2.6,0.74,0.3,12.8
207,9.3,0.53,3.29,0.99625,120.0,26.0,0.069,1.8,0.31,0.57,7.8
208,9.4,0.67,3.22,0.9966,95.0,18.0,0.1,2.7,0.28,0.44,7.8
209,10.5,0.88,3.31,0.998,19.0,7.0,0.054000000000000006,2.1,0.58,0.3,11.0
210,12.4,0.86,3.3,0.99585,19.0,5.0,0.039,2.0,0.6,0.53,9.7
211,10.0,0.56,3.35,0.99685,62.0,10.0,0.083,2.8,0.24,0.725,8.0
212,10.2,0.67,3.21,0.998,15.0,5.0,0.059000000000000004,2.1,0.64,0.44,11.6
213,10.1,0.43,3.3,0.9959,65.0,28.0,0.06,2.2,0.26,0.57,8.2
214,9.8,0.71,3.24,0.9974,41.0,10.0,0.092,2.4,0.08,0.735,7.8
215,10.5,0.76,3.34,0.9974,121.0,26.0,0.06,5.6,0.49,0.49,7.0
216,11.0,0.57,3.14,0.9962,49.0,13.0,0.10099999999999999,2.0,0.16,0.625,8.7
217,9.1,0.55,3.36,0.9967,41.0,11.0,0.07200000000000001,2.2,0.22,0.725,8.1
218,9.7,0.54,3.39,0.9957,44.0,10.0,0.076,1.9,0.19,0.49,7.5
219,9.5,0.6,3.3,0.99655,144.0,24.0,0.08,2.4,0.33,0.53,7.8
220,9.4,0.59,3.34,0.9964,58.0,24.0,0.08199999999999999,2.0,0.37,0.34,7.8
221,9.4,0.57,3.15,0.9957,72.0,16.0,0.10099999999999999,2.0,0.26,0.53,7.4
222,9.5,0.6,3.42,0.99525,10.0,5.0,0.057,1.5,0.04,0.61,6.8
223,10.0,0.6,3.28,0.99815,28.0,8.0,0.083,2.0,0.25,0.645,8.6
224,10.4,0.57,3.31,0.99745,55.0,15.0,0.08900000000000001,2.0,0.36,0.635,8.4
225,10.5,0.58,3.37,0.99615,63.0,29.0,0.073,2.6,0.25,0.43,7.7
226,9.5,1.61,3.04,0.9964,81.0,27.0,0.337,2.0,0.5,0.59,8.9
227,9.8,0.63,3.39,0.9984,23.0,9.0,0.08900000000000001,2.6,0.14,0.82,9.0
228,10.5,0.58,3.37,0.99615,63.0,29.0,0.073,2.6,0.25,0.43,7.7
229,11.0,0.5,3.46,0.99685,37.0,10.0,0.081,2.6,0.25,0.52,6.9
230,12.2,0.62,3.54,0.9927,106.0,19.0,0.054000000000000006,1.6,0.04,0.48,5.2
231,9.9,0.52,3.37,0.99625,49.0,12.0,0.078,1.8,0.06,0.38,8.0
232,9.6,0.7,3.34,0.998,58.0,18.0,0.09,2.8,0.2,0.37,8.5
233,11.0,0.5,3.46,0.99685,37.0,10.0,0.081,2.6,0.25,0.52,6.9
234,9.0,0.55,3.32,0.99685,37.0,7.0,0.065,2.3,0.09,1.0,8.2
235,9.0,0.58,3.37,0.99675,38.0,14.0,0.09699999999999999,1.9,0.0,0.63,7.2
236,9.0,0.58,3.37,0.99675,38.0,14.0,0.09699999999999999,1.9,0.0,0.63,7.2
237,9.2,0.58,3.37,0.99675,39.0,15.0,0.09699999999999999,1.9,0.0,0.645,7.2
238,9.0,0.58,3.37,0.99675,38.0,14.0,0.09699999999999999,1.9,0.0,0.63,7.2
239,9.0,0.55,3.32,0.99685,37.0,7.0,0.065,2.3,0.09,1.0,8.2
240,9.3,1.09,3.0,0.9971,62.0,5.0,0.263,1.7,0.37,0.635,8.9
241,10.9,0.71,3.14,0.99925,24.0,6.0,0.09300000000000001,2.1,0.56,0.38,12.0
242,9.8,0.49,3.08,0.99565,109.0,28.0,0.102,1.8,0.1,0.58,7.7
243,9.2,0.84,3.07,1.00005,24.0,10.0,0.075,2.2,0.44,0.21,15.0
244,9.2,0.84,3.07,1.00005,24.0,10.0,0.075,2.2,0.44,0.21,15.0
245,9.9,0.96,3.61,0.9983,23.0,6.0,0.084,2.0,0.0,0.66,7.3
246,9.5,0.52,3.38,0.99685,51.0,16.0,0.075,1.9,0.07,0.68,7.1
247,9.3,0.45,3.2,0.9963,73.0,11.0,0.07200000000000001,2.3,0.17,0.6,8.2
248,9.8,0.48,3.35,0.99615,39.0,9.0,0.07400000000000001,1.7,0.06,0.53,7.7
249,9.9,0.96,3.61,0.9983,23.0,6.0,0.084,2.0,0.0,0.66,7.3
250,10.0,0.78,3.22,0.9985,37.0,16.0,0.063,1.6,0.44,0.32,10.8
251,9.9,0.7,3.47,0.9972,34.0,16.0,0.07400000000000001,1.8,0.0,0.6,7.1
252,10.5,0.53,3.17,0.9986,21.0,5.0,0.09,3.1,0.48,0.35,11.1
253,9.5,0.59,3.23,0.9959,86.0,8.0,0.092,1.9,0.42,0.775,7.7
254,9.9,0.7,3.47,0.9972,34.0,16.0,0.07400000000000001,1.8,0.0,0.6,7.1
255,9.3,0.57,3.26,0.99675,119.0,17.0,0.073,3.2,0.23,0.57,8.0
256,9.2,0.62,3.22,0.998,13.0,5.0,0.075,2.2,0.37,0.34,9.4
257,9.2,0.67,3.49,0.9968,56.0,12.0,0.075,2.1,0.0,0.695,6.6
258,9.4,1.26,3.06,0.9968,45.0,8.0,0.611,1.8,0.76,0.41,7.7
259,10.5,0.8,3.36,0.99965,33.0,14.0,0.085,2.6,0.47,0.31,10.0
260,9.3,0.65,3.29,0.99625,45.0,18.0,0.077,1.7,0.23,0.33,7.9
261,9.4,0.6,3.35,0.99565,67.0,12.0,0.087,2.0,0.04,0.975,7.0
262,10.0,0.57,3.34,0.99575,35.0,10.0,0.07,1.7,0.03,0.52,8.0
263,9.3,0.67,3.28,0.9963,49.0,23.0,0.077,1.8,0.23,0.37,7.9
264,10.9,0.87,3.08,0.9999,27.0,5.0,0.064,2.4,0.49,0.56,12.5
265,10.2,0.72,3.2,0.9968,10.0,6.0,0.071,1.8,0.52,0.26,11.8
266,9.8,0.72,3.6,1.00025,61.0,26.0,0.096,3.3,0.0,0.87,8.1
267,12.8,0.86,3.35,0.9973,37.0,15.0,0.078,3.6,0.46,0.35,7.9
268,9.4,0.91,3.69,0.9987,27.0,7.0,0.077,3.0,0.04,0.54,6.9
269,10.1,0.97,3.28,0.9996,23.0,4.0,0.10400000000000001,4.0,0.51,0.18,11.5
270,10.7,0.67,3.36,0.9965,61.0,27.0,0.087,4.0,0.06,0.545,7.9
271,10.1,0.97,3.28,0.9996,23.0,4.0,0.10400000000000001,4.0,0.51,0.18,11.5
272,10.1,0.78,3.22,0.99935,65.0,17.0,0.071,4.0,0.58,0.37,10.9
273,9.4,0.64,3.31,0.99735,38.0,10.0,0.076,2.4,0.2,0.715,8.4
274,9.4,0.77,3.38,0.99915,94.0,27.0,0.08800000000000001,7.0,0.18,0.65,7.5
275,10.7,0.67,3.36,0.9965,61.0,27.0,0.087,4.0,0.06,0.545,7.9
276,9.4,0.91,3.69,0.9987,27.0,7.0,0.077,3.0,0.04,0.54,6.9
277,10.1,0.97,3.28,0.9996,23.0,4.0,0.10400000000000001,4.0,0.51,0.18,11.5
278,12.6,0.82,3.23,0.9976,13.0,5.0,0.073,6.4,0.45,0.32,10.3
279,10.5,0.77,3.38,0.9991,47.0,10.0,0.087,5.6,0.32,0.4,8.9
280,9.3,0.82,3.12,0.9986,19.0,6.0,0.071,3.6,0.44,0.26,11.4
281,9.9,1.08,3.25,0.9972,10.0,5.0,0.358,3.5,0.68,0.27,7.7
282,9.1,0.57,3.36,0.9971,53.0,12.0,0.067,3.0,0.12,0.52,7.6
283,10.5,0.77,3.38,0.9991,47.0,10.0,0.087,5.6,0.32,0.4,8.9
284,9.8,0.71,3.31,1.00015,71.0,32.0,0.102,3.4,0.07,0.59,9.9
285,9.8,0.71,3.31,1.00015,71.0,32.0,0.102,3.4,0.07,0.59,9.9
286,10.3,0.76,3.1,0.9997,49.0,25.0,0.073,2.0,0.55,0.45,12.0
